num_expediente;fecha;hora;localizacion;numero;distrito;tipo_accidente;estado_meteorológico;tipo_vehiculo;victima;tipo_persona;rango_edad;sexo;lesividad;coordenada_x_utm;coordenada_y_utm;positiva_alcohol;positiva_droga
2021S003470;07/03/2021;12:44:00;CMNO. ARROYO DE VALDEBEBAS / AUTOV. M-40;9;HORTALEZA;Colisión frontal;Despejado;Bicicleta;10095;Conductor;De 35 a 39 años;Hombre;7;444711,11;4483827,56;N;NULL
2021S003470;07/03/2021;12:44:00;CMNO. ARROYO DE VALDEBEBAS / AUTOV. M-40;9;HORTALEZA;Colisión frontal;Despejado;Bicicleta;10096;Conductor;De 40 a 44 años;Hombre;7;444711,11;4483827,56;N;NULL
2021S003486;08/03/2021;17:03:00;PASEO. REINA CRISTINA, 15;15;RETIRO;Alcance;Lluvia débil;Bicicleta;10097;Conductor;De 40 a 44 años;Hombre;2;442150,6;4473176,66;N;NULL
2021S003555;09/03/2021;18:30:00;AVDA. MEDITERRANEO / CALL. POZA DE LA SAL;136;VILLA DE VALLECAS;Caída;Despejado;Bicicleta;10098;Conductor;De 40 a 44 años;Hombre;3;451166,52;4468367,96;N;NULL
2021S003556;04/03/2021;15:58:00;PLAZA. BEATA MARIA ANA DE JESUS, 1;1;ARGANZUELA;Colisión lateral;Despejado;Bicicleta;10099;Conductor;De 50 a 54 años;Hombre;1;441074,05;4471797,95;N;NULL
2021S003640;10/03/2021;7:54:00;CALL. MATEO INURRIA / PASEO. LA HABANA;58;CHAMARTÍN;Caída;Despejado;Bicicleta;10100;Conductor;De 55 a 59 años;Hombre;7;442419,28;4479863,74;N;NULL
2021S003640;10/03/2021;7:54:00;CALL. MATEO INURRIA / PASEO. LA HABANA;58;CHAMARTÍN;Caída;Despejado;Bicicleta;10101;Peatón;De 40 a 44 años;Mujer;14;442419,28;4479863,74;N;NULL
2021S003661;10/03/2021;17:22:00;CALL. PRADILLO, 34;34;CHAMARTÍN;Alcance;Despejado;Bicicleta;10102;Conductor;De 21 a 24 años;Hombre;14;443015,64;4477794,79;N;NULL
2021S003666;10/03/2021;14:40:00;PASEO. LA HABANA, 72;72;CHAMARTÍN;Caída;Despejado;Bicicleta;10103;Conductor;De 50 a 54 años;Hombre;7;442038,79;4478374,86;N;NULL
2021S003668;11/03/2021;15:10:00;CALL. TRAFALGAR, 25;25;CHAMBERÍ;Caída;Despejado;Bicicleta;10104;Conductor;Más de 74 años;Hombre;5;440502,39;4476086,53;N;NULL
2021S003918;13/03/2021;11:10:00;PQUE. JUAN CARLOS I, 1;1;BARAJAS;Atropello a persona;Despejado;Bicicleta;10105;Conductor;De 50 a 54 años;Hombre;2;448082,9;4478956,1;N;NULL
2021S003918;13/03/2021;11:10:00;PQUE. JUAN CARLOS I, 1;1;BARAJAS;Atropello a persona;Despejado;Bicicleta;10106;Peatón;De 35 a 39 años;Mujer;2;448082,9;4478956,1;N;NULL
2021S003930;13/03/2021;22:18:00;CALL. BRAVO MURILLO / CALL. AZUCENAS;309;TETUÁN;Alcance;NULL;Bicicleta;10107;Conductor;De 25 a 29 años;Hombre;NULL;440884,69;4479363,17;N;NULL
2021S003969;14/03/2021;11:00:00;CALL. ARROYOFRESNO, 1-M-30 CARRIL BICI;1;MONCLOA-ARAVACA;Caída;Despejado;Bicicleta;10108;Conductor;De 65 a 69 años;Hombre;7;436487,03;4480310,76;N;NULL
2021S003998;14/03/2021;15:45:00;AVDA. DOCTOR GARCIA TAPIA / CALL. MARROQUINA;53;MORATALAZ;Colisión fronto-lateral;Despejado;Bicicleta;10109;Conductor;De 18 a 20 años;Hombre;NULL;445210,95;4473677,97;N;NULL
2021S004021;15/03/2021;15:30:00;CALL. GALILEO, 86;86;CHAMBERÍ;Colisión lateral;Despejado;Bicicleta;10110;Conductor;De 15 a 17 años;Mujer;7;439789,53;4476540,87;N;NULL
2021S004021;15/03/2021;15:30:00;CALL. GALILEO, 86;86;CHAMBERÍ;Colisión lateral;Despejado;Bicicleta;10111;Conductor;De 18 a 20 años;Hombre;14;439789,53;4476540,87;N;NULL
2021S004032;14/03/2021;13:00:00;PASEO. TORRECILLA / PASEO. AZUL;4;MONCLOA-ARAVACA;Colisión fronto-lateral;Despejado;Bicicleta;10112;Conductor;De 40 a 44 años;Hombre;7;437791,24;4474711,96;N;NULL
2021S004032;14/03/2021;13:00:00;PASEO. TORRECILLA / PASEO. AZUL;4;MONCLOA-ARAVACA;Colisión fronto-lateral;Despejado;Bicicleta;10113;Conductor;De 50 a 54 años;Hombre;14;437791,24;4474711,96;N;NULL
