Identificador,Gis_X,Gis_Y,Fecha de Alta,Distrito,Barrio,Nº Finca,Tipo de Reserva,Puestos,LATITUD,LONGITUD,DIRECCIÓN,C.P.,POBLACION,PROVINCIA,Fichas,Línea / Batería,LongitudP,Horario
04.52,"441496,4300000000","4475309,0700000000",42021,04  SALAMANCA,04-01 RECOLETOS,2,Taxi,7,40.4263598,-3.6896829,"CASTELLANA, PASEO, DE LA, 2",,,,,Línea,"35,00",
04.53,"442948,5500000000","4476695,8900000000",42023,04  SALAMANCA,04-04 GUINDALERA,32,Taxi,2,40.4389538,-3.6726898,"AMERICA, AVENIDA, DE, 32",,,,,Línea,"10,00",
04.55,"442691,4700000000","4476616,9200000000",42006,04  SALAMANCA,04-04 GUINDALERA,10,Taxi,5,40.4382247,-3.6757137,"AMERICA, AVENIDA, DE, 10",,,,,Línea,"25,30",
04.56,"442690,0600000000","4476088,8800000000",42201,04  SALAMANCA,04-05 LISTA,52,Taxi,3,40.4334678,-3.6756827,"MALDONADO, CALLE, DE, 52",,,,,Línea,"15,00",
04.57,"441753,5000000000","4475946,0000000000",42019,04  SALAMANCA,04-06 CASTELLANA,88,Taxi,4,40.4321156,-3.6867109,"SERRANO, CALLE, DE, 88",,,,,Línea,"20,00",
04.59,"441703,1000000000","4475513,1200000000",42018,04  SALAMANCA,04-01 RECOLETOS,54,Taxi,7,40.4282125,-3.6872654,"SERRANO, CALLE, DE, 54",,,,,Línea,"34,00",
04.60,"441680,4600000000","4475360,5500000000",42018,04  SALAMANCA,04-01 RECOLETOS,44,Taxi,8,40.4268365,-3.6875183,"SERRANO, CALLE, DE, 44",,,,,Línea,"36,00",
04.61,"441664,6900000000","4475255,6100000000",42018,04  SALAMANCA,04-01 RECOLETOS,38,Taxi,7,40.42589,-3.6876945,"SERRANO, CALLE, DE, 38",,,,,Línea,"35,00",
04.63,"441587,7300000000","4474690,3600000000",42018,04  SALAMANCA,04-01 RECOLETOS,2,Taxi,5,40.4207925,-3.6885498,"SERRANO, CALLE, DE, 2",,,,,Línea,"25,00",
04.64,"441732,3100000000","4475707,3600000000",42299,04  SALAMANCA,04-06 CASTELLANA,70,Taxi,11,40.4299643,-3.6869388,"SERRANO, CALLE, DE, 70",,,,,Línea,"60,00",
04.65,"442749,7900000000","4475130,6300000000",42661,04  SALAMANCA,04-02 GOYA,91,Taxi,3,40.4248395,-3.6748923,"GOYA, CALLE, DE, 91",,,,,Línea,"13,90",
04.66,"441595,4300000000","4476422,3500000000",43057,04  SALAMANCA,04-06 CASTELLANA,4,Taxi,3,40.4363957,-3.6886182,"LOPEZ DE HOYOS, CALLE, DE, 4",,,,,Línea,"15,00",
04.67,"442104,7800000000","4475176,6400000000",43288,04  SALAMANCA,04-01 RECOLETOS,45,Taxi,3,40.4252093,-3.6824996,"GOYA, CALLE, DE, 45",,,,,Línea,"15,00",
05.01,"441663,4800000000","4477933,2100000000",1,05  CHAMARTÍN,05-01 EL VISO,15,Taxi,6,40.450011,-3.6879546,"LA HABANA, PASEO, DE, 15",,,,,Línea,"31,10",
05.03,"442232,8600000000","4478160,2900000000",1,05  CHAMARTÍN,05-04 HISPANOAMÉRICA,199,Taxi,4,40.4520964,-3.6812611,"SERRANO, CALLE, DE, 199",,,,,Línea,"25,10",
05.04,"441480,5100000000","4478118,1300000000",38133,05  CHAMARTÍN,05-01 EL VISO,138,Taxi,3,40.451664,-3.6901293,"CASTELLANA, PASEO, DE LA, 138",,,,,Línea,"22,00",
05.05 a,"441799,5700000000","4478111,9000000000",38383,05  CHAMARTÍN,05-01 EL VISO,1,Taxi,4,40.4516302,-3.6863662,"SAGRADOS CORAZONES, PLAZA, DE LOS, 1",,,,,Línea,"20,02",
05.05 b,"441776,3500000000","4478126,7700000000",38383,05  CHAMARTÍN,05-01 EL VISO,16,Taxi,5,40.4517626,-3.6866414,"CONCHA ESPINA, AVENIDA, DE, 16",,,,,Línea,"24,20",
